subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
7.0,146.62256313799276,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,13.699999999999989,0.5973800531057525
,,,,,,,,,,
7.0,98.60929877152785,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,2.2936425777949614
,,,,,,,,,,
7.0,127.59603440506294,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.1999999999999886,0.5428913685561096
7.0,-115.9105977781694,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,4.800000000000011,0.7326040260097
7.0,16.58277003859814,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.100000000000023,0.0
,,,,,,,,,,
7.0,-2.430494327866768,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.6000000000000227,1.5610385517852614
7.0,105.06287348890078,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,0.5428913685561096
7.0,81.55624130566844,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.199999999999989,0.5115973159935333
7.0,-18.95039087756402,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.800000000000011,0.7326040260097
7.0,19.542976939203527,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,15.800000000000011,0.10897736909928588
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8.0,3.886103533169262,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,1.0,0.0
8.0,-129.60260995408873,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,4.9,0.0
8.0,39.90867655865327,1.0,1.0,1.0,1.0,4.0,-1.0,1.0,8.6,0.48840268400646664
8.0,57.41996307139539,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,11.4,0.3531787111025192
